abandon	v. 遗弃；离开；放弃；终止；陷入n. 放任，狂热
odd	adj. 奇数的；古怪的；剩余的；临时的；零散的n. 奇数；怪人；奇特的事物n. (Odd)人名；(英、西、挪、瑞典)奥德
odor	n. 气味；名声n. (Odor)人名；(匈)欧多尔
odour	n. 气味；声誉
of	prep. 属于；……的；……的一部分；住在（某地）；关于；由…… 组成的；因为；（表示人或事的时空位置）在，当
off	adj.远的,空闲的,不工作的adv.离开,在远方,离去,分离,中断,完成
offence	n. 犯罪；违反；过错；攻击
offend	vt. 冒犯；使…不愉快vi. 违反；进攻；引起不舒服
offense n. 1. 犯罪 2 冒犯，伤感情 3. 攻击
offensive	adj. 攻击的；冒犯的；无礼的；讨厌的n. 攻势；攻击
offer	vt. 提供；出价；试图n. 提议；出价；意图；录取通知书vi. 提议； 出现；献祭；求婚
office	n. 办公室；政府机关；官职；营业处
officer	n. 军官，警官；公务员，政府官员；船长vt. 指挥n. (Officer)人名；(英)奥菲瑟
official	adj. 官方的；正式的；公务的n. 官员；公务员；高级职员
offset	n.偏移量,抵销,弥补,分支,平版印刷,胶印vt.弥补,抵销,用平版印刷
offspring	n. 后代，子孙；产物
often	ən/ adv. 常常，时常；往往，大多
oh	int. 哦；哎呀（表示惊讶或恐惧等）
oil	n. 油；石油；油画颜料vt. 加油；涂油；使融化vi. 融化；加燃油
okay	int. 好，行adj. 可以；对；不错的；安全的adv. 可以；对；很好地n. 同意，批准v. 同意，批准
old	adj. 陈旧的，古老的；年老的n. 古时n. (Old)人名；(英)奥尔德
olive n. 1. 橄榄 2. 橄榄绿
omit	vt. 省略；遗漏；删除；疏忽
on	prep.在...之上,依附于,临近,靠近,向,在...时候,关于,涉及adv.在上,向前,行动中,作用中
once	adv. 一次；曾经conj. 一旦n. 一次，一回
one	pron.一个人,任何人,一方 num.一,一个adj.一方的,某一,同样的
oneself	pron. 自己；亲自；（不受他人影响的）自己
onion	n. 洋葱；洋葱头
only	adv. 只，仅仅；不料adj. 唯一的，仅有的；最合适的conj. 但是； 不过；可是
onto	prep.在...之上
ooman	‘rəumən/ n.古罗马人 a.罗马的
opaque	adj. 不透明的；不传热的；迟钝的n. 不透明物vt. 使不透明；使不反光
open	adj. 公开的；敞开的；空旷的；坦率的；营业着的vi. 开始；展现vt. 公开；打开n. 公开；空旷；户外
opening	n. 开始；机会；通路；空缺的职位adj. 开始的v. 开放（open的ing 形式）；打开；公开
opera	n. 歌剧；歌剧院；歌剧团n. (Opera)人名；(意)奥佩拉
operate	vi. 运转；动手术；起作用vt. 操作；经营；引起；对…开刀；行动
operation	n. 操作；经营；[外科] 手术；[数][计] 运算
operational	adj. 操作的；运作的
operator	n. 经营者；操作员；运营商；话务员；行家；接线员
opinion	n. 意见；主张
opponent	n. 对手；反对者；敌手adj. 对立的；敌对的
opportunity	/ n. 时机，机会
oppose	vt. 反对；对抗，抗争vi. 反对
opposite	adj. 相反的；对面的；对立的n. 对立面；反义词prep. 在…的对面adv. 在对面
oppress	vt. 压迫，压抑；使……烦恼；使……感到沉重
optical	adj. 光学的；眼睛的，视觉的
optimism	n. 乐观；乐观主义
optimistic	adj. 乐观的；乐观主义的
optimum	adj. 最适宜的n. 最佳效果；最适宜条件
option	n. [计] 选项；选择权；买卖的特权
optional	adj. 可选择的，随意的
or	conj. 或，或者；还是；要不然n. (Or)人名；(中)柯(广东话·威妥玛)；(柬)奥；(土、匈、土库、阿塞、瑞典)奥尔
oral	adj. 口头的，口述的n. 口试n. (Oral)人名；(土)奥拉尔
orange	n.柑,桔,橙,橙色
orbit	n. 轨道；眼眶；势力范围；生活常规vi. 盘旋；绕轨道运行vt. 绕… 轨道而行
orchestra	n. 管弦乐队；乐队演奏处
order	n. 命令；顺序；规则；订单；（生物学）目vt. 命令；整理；订购vi. 命令；订货
orderly	adj. 有秩序的；整齐的；值班的n. 勤务兵；传令兵；护理员adv. 有秩序地
ordinary	adj. 普通的；平凡的；平常的n. 普通；平常的人（或事）
ore	n. 矿；矿石n. (Ore)人名；(意、瑞典)奥雷；(英)奥尔
organ	n. 器官；机构；风琴；管风琴；嗓音；阴茎n. （Organ）人名；
organic	adj. [有化] 有机的；组织的；器官的；根本的
organism	n. 有机体；生物体；微生物
organization	n. 组织；机构；体制；团体
organize	vt. 组织；使有系统化；给予生机；组织成立工会等vi. 组织起来； 成立组织
orient	n.东方,东方诸国(指地中海以东各国)adj.东方的,上升的,灿烂的vi. 适应形势,向东vt.使朝东,使适应,确定方向
oriental	adj. 东方的；东方人的n. 东方人
orientation	n. 方向；定向；适应；情况介绍
origin	n. 起源；原点；出身；开端
original	adj.最初的,原始的,独创的,新颖的n.原物,原作
originate	vt. 引起；创作vi. 发源；发生；起航
ornament	n. 装饰；[建][服装] 装饰物；教堂用品vt. 装饰，修饰
orphan	n. 孤儿；孤行v. 使成为孤儿adj. 孤儿的；无双亲的
orthodox adj. 正统的，传统的
other	adj. 其他的，另外的pron. 另外一个
otherwise	adv. 否则；另外；在其他方面adj. 另外的；其他方面的；原本，本来conj. 其他；如果不；然后
ought	v. （表示责任、愿望或忠告等）应该，应当；（表示可能）大概，应该n. 责任，义务pron. （古）任何事物（等于 aught）
ounce	n. 盎司；少量；雪豹
our	pron. 我们的
ours	pron. 我们的，属于我们的n. (Ours) （美）乌尔斯（人名）
ourselves	pron. 我们自己；我们亲自
out	adj.外面的,下台的,出局的adv.在外,出声地,显露出来地,明显地,从
outbreak n. (指坏事)突然发生，爆发
outcome	n. 结果，结局；成果
outdoor	adj. 户外的；露天的；野外的（等于out-of-door）
outdoors	adv. 在户外n. 户外adj. 户外的（等于outdoor）
outer	adj. 外面的，外部的；远离中心的n. 环外命中
outfit n. 1. 全套设 备或用具 2. 全套衣装 v. 为…提供设备
outlet	n. 出口，排放孔；[电] 电源插座；销路；发泄的方法；批发商店
outline	n. 轮廓；大纲；概要；略图vt. 概述；略述；描画…轮廓
outlook	n. 展望；态度，观点；景色vt. 比……好看；用目光压倒vi. 朝外看
output	n. 输出，输出量；产量；出产vt. 输出
outrage n. 1. 暴行，残暴 2. (暴行激起的)义愤  v. 1. 激起…的义愤 2. 违背
outset	n. 开始；开端
outside	n.外面,外表,外界adj.外面的,外表的,外界的adv.在外面,外表,出界
outskirt	n. 郊区，市郊
outstanding	adj. 杰出的；显著的；未解决的；未偿付的n. 未偿贷款
outward	adj.向外的；外面的；公开的；外服的；肉体的adv. 向外（等于outwards）；在外；显而易见地n. 外表；外面；物质世界
outwards	adv. 向外地
oval	adj. 椭圆的；卵形的n. 椭圆形；卵形n. (Oval)人名；(法)奥瓦尔
oven	n. 炉，灶；烤炉，烤箱n. (Oven)人名；(荷)奥芬
over	adv.结束,越过,从头到尾 prep.在...之上,越过adj.上面的vt.额外的东西,越过n.额外的东西
overall	ˈoʊvərɔːl/ adj. 全部的；全体的；一切在内的adv. 全部地；总的说来n. 工装裤；罩衫
overcoat	n. 大衣，外套
overcome	vt. 克服；胜过vi. 克服；得胜
overflow	v.（尤指液体）溢出；（容器）满得溢出；挤满人了；淹没（某一表
overhead	ˈoʊvərˌhed/ adj.在头上的,高架的n.企业一般管理费用,天花板adv.在头顶上,在空中,在高处
overhear	vt. 无意中听到；偷听vi. 无意中听到；偷听到
overlap	v.(与...)交迭
overlook	vt. 忽略；俯瞰；远眺；不计较，宽恕；施魔法于；监督；检查n. 忽视；眺望；从高处能看到的景色
overnight	adv. 在夜间；突然；一夜之间adj. 晚上的，只供一夜的；突然的v. 过夜；连夜快递（某物）n. 一夜的逗留
overpass n. 天桥，立交桥 v. 超越，胜过
overseas	adv. 在海外，向国外adj. 海外的，国外的
overt adj. 公开的，明显的
overtake	vt. 赶上；压倒；突然来袭vi. 超车
overthrow	ˈoʊvərθroʊ v. 推翻，倾覆；瓦解；投（球）过远；背弃n. 推翻，打倒，倾覆； 投球过猛；（拱门、门廊上方的）铁艺装饰板
overtime	n. [劳经] 加班时间；延长时间；加时赛adj. 超时的；加班的vt. 使超过时间adv. 加班地
overturn v. 1. 翻倒，打翻 2. 推翻，颠覆
overwhelm	vt. 淹没；压倒；受打击；覆盖；压垮
overwhelming adj. 压倒一切的，无法抗拒的
owe	vt. 欠；感激；应给予；应该把……归功于vi. 欠钱n. (Owe)人名；
owl	n. 猫头鹰；枭；惯于晚上活动的人
own	vt. 拥有；承认vi. 承认adj. 自己的；特有的n. （Own）（阿拉伯） 奥恩（人名）
owner	n. [经] 所有者；物主
ownership	n. 所有权；物主身份
ox	n. 牛；公牛
oxide	n. [化学] 氧化物
oxygen	‘ɔksidʒən/ n. 氧气
ozone n. 臭氧
pace	n.步，步速 vi.踱步
pacific	pə’sifik/ a.和平的 n.太平洋
pack	pæk/ vt.捆扎；挤满 n.包
package	‘pækidʒ/ n.包裹，包，捆
packet	‘pækit/ n.小包(裹)，小捆
pact n. 契约，公约，条约
pad	pæd/ n.垫；本子 vt.填塞
page	n.页
pail 1. n.桶，提桶
pain	n.痛，疼痛；辛苦
painful	‘peinful/ a.使痛的；费力的
paint	vt.画；油漆 vi.绘画
painter	‘peintə/ n.漆工，画家，绘画者
painting	‘peintiŋ/ n.油画；绘画；着色
pair	n.一对 vi.成对，配对
palace	‘pælis/ n.宫，宫殿
pale	a.苍白的；浅的
palm	n.手掌，手心；掌状物
pamphlet	n. 小册子
pan	pæn/ n.平底锅，盘子
panda 1. n.小猫熊 2. 猫熊
pane 1. n.窗格玻璃
panel	‘pænl/ n.专门小组；面，板
panic	n. 恐慌，惊慌；大恐慌adj. 恐慌的；没有理由的vt. 使恐慌vi. 十分惊慌n. (Panic)人名；(罗)帕尼克
pant 1. n.气喘 2. 心跳
paper	‘peipə/ n.纸；官方文件；文章
paperback n. 平装本，纸面本
parade	pə’reid/ n.游行；检阅 vi.游行
paradise	n. 天堂至福境地
paradox	n. 悖论，反论；似是而非的论点；自相矛盾的人或事n. （Paradox）
paragraph	‘pærəgra:f/ n.(文章的)段，节
parallel	‘pærəlel/ a.平行的；相同的
paralyze	vt. 使麻痹；使瘫痪
parameter	n. 参数；系数；参量
parasite n. 1. 寄生虫，寄生植物 2. 食客，靠他人供养的人
parcel	‘pa:sl/ n.包裹，小包，邮包
pardon	‘pa:dn/ n.原谅；赦免 vt.原谅
parent	‘peərənt/ n.父亲，母亲，双亲
park	n.公园；停车场
parliament	‘pa:ləmənt/ n.议会，国会
part	n.一部分；零件；本份
partial	‘pa:ʃəl/ a.部分的；不公平的
partially 1. ad.部分地
participant	n. 参与者，参加者adj. 参与的
participate	pa:’tisipeit/ vi.参与，参加；分享
particle	‘pa:tikl/ n.粒子，微粒
particular	pə’tikjulə/ a.特殊的；特定的
particularly	pə’tikjuləli/ ad.特别，尤其，格外
partition	n. 划分，分开；[数] 分割；隔墙；隔离物vt. [数] 分割；分隔；区分
partly	‘pa:tli/ ad.部分地，不完全地
partner	‘pa:tnə/ n.伙伴；搭挡；配偶
party	‘pa:ti/ n.党，党派；聚会
pass	vt.经过；通过；度过
passage	‘pæsidʒ/ n.通过；通路，通道
passenger	‘pæsindʒə/ n.乘客，旅客，过路人
passion	‘pæʃən/ n.激情，热情；爱好
passive	‘pæsiv/ a.被动的；消极的
passport	‘pa:spɔ:t/ n.护照
past	a.过去的 n.过去
paste	n.糊，酱；浆湖
pastime	n. 娱乐，消遣
pastry n. 糕点，酥皮点心
pasture	n. 草地；牧场；牧草vt. 放牧；吃草n. (Pasture)人名；(英)帕斯彻；(法)帕斯蒂尔
pat	pæt/ n.&vt.&n.轻拍
patch	pætʃ/ n.补钉；碎片 vt.补缀
patent n. 专利;专利权，专利证书 adj. 1. 专利的，专卖的 2. 公开的，显然的
path	n.路，小道；道路
pathetic	adj. 可怜的，悲哀的；感伤的；乏味的
patience	‘peiʃəns/ n.忍耐，容忍，耐心
patient	‘peiʃənt/ a.忍耐的 n.病人
patriot n. 爱国者，爱国主义者
patriotic	adj. 爱国的
patrol	n. 巡逻；巡逻队；侦察队vt. 巡逻；巡查vi. 巡逻；巡查
patron n. 1. 赞助人，资助人 2. 老顾客，主顾
pattern	‘pætən/ n.型，式样，模，模型
pause	n.&vi.中止，暂停
pave	v.（用石板或砖）铺（路），铺砌，铺设；为某事物铺平道路，创造条件n. (Pave) （法、塞尔维亚、克罗地亚）帕韦（人名）
pavement 1. n.(英)人行道
paw	n.脚爪，爪子
pay	vt.支付；付给；给予
payment	‘peimənt/ n.支付，支付的款项
pea	n.豌豆；豌豆属植物
peace	n.和平；和睦；平静
peaceful	‘pi:sful/ a.和平的；安静的
peach	n.桃子，桃树
peak	n.山顶，巅 a.最高的
pear	n.梨子，梨树
pearl	n. 珍珠；珍珠色；杰出者；珍品adj. 镶珍珠的；珍珠状的vi. 采珍珠；成珍珠状vt. 使成珠状；用珍珠装饰；使呈珍珠色
peasant	‘pezənt/ n.农民
pebble 1. n.卵石，细砾
peculiar	pi’kju:ljə/ a.特有的；特别的
pedal	n. （车辆，乐器的）踏板v. 骑（自行车）；踩踏板adj. 脚的；脚踏的
pedestrian	adj. 徒步的；缺乏想像力的n. 行人；步行者
peel	v. 剥，剥落；削；（槌球中）击（他人的球）穿过铁环门n. 皮n.
peep 1. vi.(从缝隙中)偷看
peer	n. 同等地位的人，同龄人；贵族v. 凝视，盯着看；隐现；看见；匹配n. (Peer) （美、爱、英）皮尔（人名）
peg n. 木栓，楔子，桩钉
pen	n.钢笔，自来水笔
penalty	n. 罚款，罚金；处罚
pencil	‘pensl/ n.铅笔
pendulum n. 1. 摆，钟摆 2. 摇摆不定的事态
penetrate	‘penitreit/ vt.穿过 vi.穿入
penguin n. 企鹅
peninsula n. 半岛
penny	‘peni/ n.(英)便士；(美)分
pension	n. 退休金，抚恤金；津贴；膳宿费vt. 发给养老金或抚恤金
people	‘pi:pl/ n.人民，民族；人
pepper 1. n.胡椒，胡椒粉
per	prep.每
perceive	pə’si:v/ vt.察觉，发觉；理解
percent	pə’sent/ n.百分之…
percentage	pə’sentidʒ/ n.百分比，百分率
perception	n. 认识能力；知觉，感觉；洞察力；看法；获取
perfect	‘pə:fikt, ‘pə:fekt/ a.完美的；完全的
perfection	n. 完善；完美
perfectly 1. ad.很，完全
perform	pə’fɔ:m/ vt.履行，执行；演出
performance	pə’fɔ:məns/ n.履行；演出；行为
perfume	uːm/ n. 香水；香味vt. 洒香水于…；使…带香味vi. 散发香气
perhaps	pə’hæps/ ad.也许，可能，多半
period	‘piəriəd/ n.时期；学时；句号
periodic	adj. 周期的；定期的
periodical	adj. [数] 周期的；定期的n. 期刊；杂志
perish	vt. 使麻木；毁坏vi. 死亡；毁灭；腐烂；枯萎
permanent	‘pə:mənənt/ a.永久的，持久的
permanently 1. ad.永久/持久地
permeate v. 1. 渗入，透过 2. 弥漫，充满
permissible adj. 容许的，可准许的
permission	pə(:)’miʃən/ n.允许，许可，同意
permit	pə:’mit, ‘pə:mit/ vt.允许 n.执照
perpetual	adj. 永久的；不断的；四季开花的；无期限的
perplex	vt. 使困惑，使为难；使复杂化
persist	pə:’sist/ vi.坚持，固执；持续
persistent adj. 1. 坚持的，不屈不挠的 2. 持续不断的，反复出现的
person	‘pə:sn/ n.人；人身；本人
personal	‘pə:sənl/ a.个人的；本人的
